Campanha,Dia,Cidade (local geográfico),Tipo de campanha,Código da moeda,Cliques,Impr.,CTR,CPC médio,Custo,Conversões,Custo / conv.,Taxa de conv.
[download]Manutencao_Novembro,2021-11-18,Recife,App,BRL,8,567,"0,01","0,27","2,2",1,"2,2","0,13"
[download]Manutencao_Novembro,2021-11-20,Jandira,App,BRL,2,106,"0,02","0,11","0,22",1,"0,22","0,50"
[download]Manutencao_Novembro,2021-11-22,Recife,App,BRL,4,372,"0,01","0,2","0,81",1,"0,81","0,25"
[download]Manutencao_Novembro,2021-11-25,Moreno,App,BRL,1,20,"0,05","0,3","0,3",1,"0,3","1,00"
[download]Manutencao_Novembro,2021-11-14,Leme,App,BRL,0,11,"0,00",0,0,0,0,"0,00"
[download]Manutencao_Novembro,2021-11-25,Serrinha,App,BRL,11,111,"0,10","0,45","4,92",6,"0,82","0,55"
[download]Manutencao_Novembro,2021-11-21,Madre de Deus,App,BRL,0,2,"0,00",0,0,0,0,"0,00"
[download]Manutencao_Novembro,2021-11-23,Arapiraca,App,BRL,6,302,"0,02","0,35","2,08",3,"0,69","0,50"
[download]Manutencao_Novembro,2021-11-26,Goiana,App,BRL,0,37,"0,00",0,0,0,0,"0,00"
[download]Manutencao_Novembro,2021-11-28,Pombal,App,BRL,0,4,"0,00",0,0,0,0,"0,00"
[download]Manutencao_Novembro,2021-11-15,Candeias,App,BRL,0,18,"0,00",0,0,0,0,"0,00"
[download]Manutencao_Novembro,2021-11-19,Cabedelo,App,BRL,0,19,"0,00",0,0,0,0,"0,00"
[download]Manutencao_Novembro,2021-11-25,Santa Cruz do Capibaribe,App,BRL,2,18,"0,11","0,4","0,81",1,"0,81","0,50"
[download]Manutencao_Novembro,2021-11-14,Araripina,App,BRL,0,17,"0,00",0,0,0,0,"0,00"
[download]Manutencao_Novembro,2021-11-13,Pirassununga,App,BRL,0,15,"0,00",0,0,0,0,"0,00"
[download]Manutencao_Novembro,2021-11-13,Tobias Barreto,App,BRL,0,13,"0,00",0,0,0,0,"0,00"
[download]Manutencao_Novembro,2021-11-16,Simões Filho,App,BRL,1,135,"0,01","0,3","0,3",1,"0,3","1,00"
[download]Manutencao_Novembro,2021-11-12,Assú,App,BRL,1,61,"0,02","0,59","0,59",0,0,"0,00"
[download]Manutencao_Novembro,2021-11-14,Surubim,App,BRL,0,4,"0,00",0,0,0,0,"0,00"
[download]Manutencao_Novembro,2021-11-12,Mococa,App,BRL,0,14,"0,00",0,0,0,0,"0,00"
[download]Manutencao_Novembro,2021-11-27,Simão Dias,App,BRL,10,21,"0,48","0,54","5,37",9,"0,6","0,90"
[download]Manutencao_Novembro,2021-11-16,Santa Inês,App,BRL,0,16,"0,00",0,0,0,0,"0,00"
[download]Manutencao_Novembro,2021-11-22,Madre de Deus,App,BRL,0,14,"0,00",0,0,0,0,"0,00"
[download]Manutencao_Novembro,2021-11-14,Pombal,App,BRL,0,15,"0,00",0,0,0,0,"0,00"
[download]Manutencao_Novembro,2021-11-17,Goiana,App,BRL,2,35,"0,06","0,25","0,49",0,0,"0,00"
[download]Manutencao_Novembro,2021-11-18,Pombal,App,BRL,1,7,"0,14","0,38","0,38",0,0,"0,00"
[download]Manutencao_Novembro,2021-11-19,Caruaru,App,BRL,4,548,"0,01","0,12","0,49",0,0,"0,00"
[download]Manutencao_Novembro,2021-11-22,Arapiraca,App,BRL,11,313,"0,04","0,26","2,83",8,"0,35","0,73"
[download]Manutencao_Novembro,2021-11-12,Farroupilha,App,BRL,1,43,"0,02","0,08","0,08",0,0,"0,00"
[download]Manutencao_Novembro,2021-11-28,Jequié,App,BRL,5,94,"0,05","0,25","1,23",0,0,"0,00"
[download]Manutencao_Novembro,2021-11-13,Louveira,App,BRL,0,31,"0,00",0,0,0,0,"0,00"
[download]Manutencao_Novembro,2021-11-14,Queimadas,App,BRL,0,1,"0,00",0,0,0,0,"0,00"
[download]Manutencao_Novembro,2021-11-20,Louveira,App,BRL,0,6,"0,00",0,0,0,0,"0,00"
[download]Manutencao_Novembro,2021-11-28,Rolândia,App,BRL,1,26,"0,04","0,18","0,18",1,"0,18","1,00"
[download]Manutencao_Novembro,2021-11-19,Abreu e Lima,App,BRL,0,1,"0,00",0,0,0,0,"0,00"
[download]Manutencao_Novembro,2021-11-15,São Miguel dos Campos,App,BRL,1,3,"0,33","0,6","0,6",1,"0,6","1,00"
[download]Manutencao_Novembro,2021-11-16,Mococa,App,BRL,0,16,"0,00",0,0,0,0,"0,00"
[download]Manutencao_Novembro,2021-11-17,Mococa,App,BRL,1,22,"0,05","0,18","0,18",1,"0,18","1,00"
[download]Manutencao_Novembro,2021-11-21,Itaberaba,App,BRL,2,18,"0,11","0,62","1,24",2,"0,62","1,00"
[download]Manutencao_Novembro,2021-11-26,Guarabira,App,BRL,3,52,"0,06","0,07","0,2",0,0,"0,00"
[download]Manutencao_Novembro,2021-11-29,Jandira,App,BRL,2,127,"0,02","0,3","0,59",1,"0,59","0,50"
[download]Manutencao_Novembro,2021-11-30,Jandira,App,BRL,1,110,"0,01","0,19","0,19",0,0,"0,00"
[download]Manutencao_Novembro,2021-11-13,Palmeira dos Índios,App,BRL,1,65,"0,02","0,23","0,23",0,0,"0,00"
[download]Manutencao_Novembro,2021-11-15,Taquaritinga,App,BRL,1,24,"0,04","0,74","0,74",0,0,"0,00"
[download]Manutencao_Novembro,2021-11-26,Escada,App,BRL,1,22,"0,05","0,03","0,03",1,"0,03","1,00"
[download]Manutencao_Novembro,2021-11-30,Currais Novos,App,BRL,0,39,"0,00",0,0,0,0,"0,00"
[download]Manutencao_Novembro,2021-11-23,Catolé do Rocha,App,BRL,0,10,"0,00",0,0,0,0,"0,00"
[download]Manutencao_Novembro,2021-11-28,Toritama,App,BRL,3,12,"0,25","0,69","2,07",2,"1,03","0,67"
[download]Manutencao_Novembro,2021-11-23,Taquaritinga,App,BRL,0,30,"0,00",0,0,0,0,"0,00"
[download]Manutencao_Novembro,2021-11-15,Carpina,App,BRL,1,16,"0,06","4,05","4,05",1,"4,05","1,00"
[download]Manutencao_Novembro,2021-11-29,Pilar,App,BRL,2,29,"0,07","0,17","0,33",1,"0,33","0,50"
[download]Manutencao_Novembro,2021-11-18,Barreiras,App,BRL,0,1,"0,00",0,0,0,0,"0,00"
[download]Manutencao_Novembro,2021-11-20,Iguatu,App,BRL,3,60,"0,05","0,47","1,42",1,"1,42","0,33"
[download]Manutencao_Novembro,2021-11-12,Propriá,App,BRL,1,4,"0,25","0,63","0,63",0,0,"0,00"
[download]Toritama/PE-Novembro,2021-11-05,Toritama,App,BRL,118,3609,"0,03","1,5","177,45",29,"6,12","0,25"
[download]Toritama/PE-Novembro,2021-11-09,Toritama,App,BRL,280,10936,"0,03","0,75","211,03",55,"3,84","0,20"
[download]Manutencao_Novembro,2021-11-19,Itanhaém,App,BRL,2,112,"0,02","0,41","0,81",1,"0,81","0,50"
[download]Manutencao_Novembro,2021-11-24,Pilar,App,BRL,0,21,"0,00",0,0,0,0,"0,00"
[download]Vitória de Santo Antão/PE-Novembro,2021-11-18,Vitória de Santo Antão,App,BRL,33,921,"0,04","0,67","22,25",14,"1,59","0,42"
[download]Vitória de Santo Antão/PE-Novembro,2021-11-03,Vitória de Santo Antão,App,BRL,36,689,"0,05","0,68","24,4",7,"3,49","0,19"
[download]Manutencao_Novembro,2021-11-16,Brumado,App,BRL,0,16,"0,00",0,0,0,0,"0,00"
[download]Manutencao_Novembro,2021-11-28,Alagoinhas,App,BRL,8,60,"0,13","0,41","3,3",7,"0,47","0,88"
[download]Manutencao_Novembro,2021-11-14,Feira de Santana,App,BRL,3,94,"0,03","1,4","4,21",1,"4,21","0,33"
[download]Manutencao_Novembro,2021-11-23,Monteiro,App,BRL,4,14,"0,29","0,37","1,46",2,"0,73","0,50"
[download]Manutencao_Novembro,2021-11-22,Araras,App,BRL,0,105,"0,00",0,0,0,0,"0,00"
[download]Manutencao_Novembro,2021-11-19,Paudalho,App,BRL,0,7,"0,00",0,0,0,0,"0,00"
[download]Manutencao_Novembro,2021-11-28,Aracaju,App,BRL,0,144,"0,00",0,0,0,0,"0,00"
[download]Manutencao_Novembro,2021-11-24,Pesqueira,App,BRL,1,33,"0,03","0,29","0,29",0,0,"0,00"
[download]Manutencao_Novembro,2021-11-27,Garanhuns,App,BRL,2,164,"0,01","0,06","0,11",0,0,"0,00"
[download]Manutencao_Novembro,2021-11-27,Aracaju,App,BRL,3,194,"0,02","0,32","0,97",2,"0,49","0,67"
[download]Manutencao_Novembro,2021-11-28,Guaratinguetá,App,BRL,3,119,"0,03","0,14","0,43",1,"0,43","0,33"
[download]Manutencao_Novembro,2021-11-30,Cabo de Santo Agostinho,App,BRL,2,109,"0,02","0,03","0,07",0,0,"0,00"
[download]Manutencao_Novembro,2021-11-16,Eunápolis,App,BRL,1,44,"0,02","0,08","0,08",0,0,"0,00"
[download]Manutencao_Novembro,2021-11-12,Rio Largo,App,BRL,0,83,"0,00",0,0,0,0,"0,00"
[download]Manutencao_Novembro,2021-11-15,Seabra,App,BRL,0,5,"0,00",0,0,0,0,"0,00"
[download]Manutencao_Novembro,2021-11-20,Rio Largo,App,BRL,0,56,"0,00",0,0,0,0,"0,00"
[download]Manutencao_Novembro,2021-11-15,Garanhuns,App,BRL,1,24,"0,04","2,36","2,36",1,"2,36","1,00"
[download]Abreu e Lima/PE-Novembro,2021-11-30,Abreu e Lima,App,BRL,13,514,"0,03","1,1","14,34",5,"2,87","0,38"
[download]Abreu e Lima/PE-Novembro,2021-11-11,Abreu e Lima,App,BRL,26,701,"0,04","0,65","16,96",10,"1,7","0,38"
[download]Manutencao_Novembro,2021-11-21,Belo Jardim,App,BRL,0,3,"0,00",0,0,0,0,"0,00"
[download]Manutencao_Novembro,2021-11-26,Jandira,App,BRL,0,47,"0,00",0,0,0,0,"0,00"
[download]Manutencao_Novembro,2021-11-27,Açu,App,BRL,0,1,"0,00",0,0,0,0,"0,00"
[download]Manutencao_Novembro,2021-11-13,Aparecida,App,BRL,0,44,"0,00",0,0,0,0,"0,00"
[download]Manutencao_Novembro,2021-11-14,Araras,App,BRL,0,54,"0,00",0,0,0,0,"0,00"
[download]Manutencao_Novembro,2021-11-23,Juazeiro,App,BRL,5,137,"0,04","0,28","1,4",1,"1,4","0,20"
