Nome do conjunto de anúncios,Dia,Região,Status de veiculação,Nível de veiculação,Nome da campanha,Tipo de resultado,Resultados,Alcance,Impressões,Valor gasto (BRL),Custo por resultado,Frequência,Cliques no link únicos,Cliques (todos),CTR único (taxa de cliques no link),CTR (taxa de cliques no link),Instalações do aplicativo,Custo por instalação de aplicativo,Ativações de aplicativos,Ativações do aplicativo únicas,Custo por ativação de aplicativo,Custo por ativação do aplicativo única,Início dos relatórios,Término dos relatórios
QD_Produtos||All_cities||traffic,2021-11-21,Pará,active,adset,Traffic||Branding geral||Novembro,0,0,8,15,0.14,0.00,1.875,0,1,0,0,0,0,3,0,0,0,2021-11-21,2021-11-21
QD_Vantagens ||All_cities||traffic,2021-11-21,Maranhão,active,adset,Traffic||Branding geral||Novembro,0,0,88,113,0.44,0.00,1.284090909,0,0,0,0,0,0,37,16,0,0.02750471,2021-11-21,2021-11-21
QD_Produtos||All_cities||traffic,2021-11-21,Unknown,active,adset,Traffic||Branding geral||Novembro,0,0,10,10,0.03,0.00,1,0,0,0,0,0,0,3,3,0,0.01,2021-11-21,2021-11-21
QD_Produtos||All_cities||traffic,2021-11-21,Rio Grande do Sul,active,adset,Traffic||Branding geral||Novembro,0,0,8,14,0.05,0.00,1.75,0,0,0,0,0,0,2,2,0,0.025,2021-11-21,2021-11-21
QD_Vantagens ||All_cities||traffic,2021-11-21,Paraná,active,adset,Traffic||Branding geral||Novembro,0,0,4,4,0.03,0.00,1,0,0,0,0,0,0,0,0,0,0,2021-11-21,2021-11-21
QD_Produtos||All_cities||traffic,2021-11-21,Federal District,active,adset,Traffic||Branding geral||Novembro,0,0,0,2,0.01,0.00,0,0,0,0,0,0,0,0,0,0,0,2021-11-21,2021-11-21
QD_Vantagens ||All_cities||traffic,2021-11-21,Rio Grande do Sul,active,adset,Traffic||Branding geral||Novembro,0,0,16,22,0.08,0.00,1.375,0,0,0,0,0,0,0,0,0,0,2021-11-21,2021-11-21
QD_Vantagens ||All_cities||traffic,2021-11-21,Pará,active,adset,Traffic||Branding geral||Novembro,0,0,0,11,0.09,0.00,0,0,0,0,0,0,0,0,0,0,0,2021-11-21,2021-11-21
QD_Vantagens ||All_cities||traffic,2021-11-21,Unknown,active,adset,Traffic||Branding geral||Novembro,0,0,0,9,0.03,0.00,0,0,0,0,0,0,0,4,4,0,0.00750128,2021-11-21,2021-11-21
QD_Vantagens ||All_cities||traffic,2021-11-21,Minas Gerais,active,adset,Traffic||Branding geral||Novembro,0,0,0,2,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,2021-11-21,2021-11-21
QD_Vantagens ||All_cities||traffic,2021-11-21,Federal District,active,adset,Traffic||Branding geral||Novembro,0,0,0,1,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,2021-11-21,2021-11-21
QD_Produtos||All_cities||traffic,2021-11-21,Pernambuco,active,adset,Traffic||Branding geral||Novembro,Cliques no link,26,4992,5639,24.38,0.94,1.129607372,24,34,0.480769231,0.461074659,0,0,1747,712,0,0.03424157,2021-11-21,2021-11-21
QD_Vantagens ||All_cities||traffic,2021-11-20,Paraná,active,adset,Traffic||Branding geral||Novembro,0,0,4,4,0.03,0.00,1,0,0,0,0,0,0,1,1,0,0.02999484,2021-11-20,2021-11-20
QD_Vantagens ||All_cities||traffic,2021-11-20,Pernambuco,active,adset,Traffic||Branding geral||Novembro,Cliques no link,34,4128,5150,25.17,0.74,1.247577519,32,48,0.775193798,0.660194175,0,0,1144,528,0,0.04766226,2021-11-20,2021-11-20
QD_Produtos||All_cities||traffic,2021-11-20,Piauí,active,adset,Traffic||Branding geral||Novembro,Cliques no link,3,336,336,1.61,0.54,1,3,7,0.892857143,0.892857143,0,0,86,44,0,0.03658458,2021-11-20,2021-11-20
QD_Produtos||All_cities||traffic,2021-11-20,Rio Grande do Norte,active,adset,Traffic||Branding geral||Novembro,0,0,180,203,0.84,0.00,1.127777778,0,0,0,0,0,0,66,32,0,0.02624546,2021-11-20,2021-11-20
QD_Produtos||All_cities||traffic,2021-11-20,Goiás,active,adset,Traffic||Branding geral||Novembro,0,0,105,105,0.59,0.00,1,0,0,0,0,0,0,15,0,0,0,2021-11-20,2021-11-20
QD_Produtos||All_cities||traffic,2021-11-20,Maranhão,active,adset,Traffic||Branding geral||Novembro,0,0,84,102,0.37,0.00,1.214285714,0,0,0,0,0,0,7,7,0,0.052848,2021-11-20,2021-11-20
QD_Produtos||All_cities||traffic,2021-11-20,Unknown,active,adset,Traffic||Branding geral||Novembro,0,0,44,44,0.24,0.00,1,0,1,0,0,0,0,16,12,0,0.01999654,2021-11-20,2021-11-20
QD_Produtos||All_cities||traffic,2021-11-20,Pará,active,adset,Traffic||Branding geral||Novembro,Cliques no link,1,0,12,0.08,0.08,0,1,1,0,8.333333333,0,0,2,0,0,0,2021-11-20,2021-11-20
QD_Produtos||All_cities||traffic,2021-11-20,Rio Grande do Sul,active,adset,Traffic||Branding geral||Novembro,0,0,4,7,0.01,0.00,1.75,0,0,0,0,0,0,0,0,0,0,2021-11-20,2021-11-20
QD_Produtos||All_cities||traffic,2021-11-20,Paraná,active,adset,Traffic||Branding geral||Novembro,0,0,2,2,0.01,0.00,1,0,0,0,0,0,0,0,0,0,0,2021-11-20,2021-11-20
QD_Produtos||All_cities||traffic,2021-11-20,Federal District,active,adset,Traffic||Branding geral||Novembro,0,0,0,1,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,2021-11-20,2021-11-20
QD_Vantagens ||All_cities||traffic,2021-11-20,Sergipe,active,adset,Traffic||Branding geral||Novembro,Cliques no link,12,2904,3584,15.63,1.30,1.23415978,12,16,0.41322314,0.334821429,0,0,1827,636,0,0.02457125,2021-11-20,2021-11-20
QD_Produtos||All_cities||traffic,2021-11-20,São Paulo (state),active,adset,Traffic||Branding geral||Novembro,Cliques no link,5,644,959,5.23,1.05,1.489130435,5,7,0.776397516,0.521376434,0,0,187,84,0,0.06225113,2021-11-20,2021-11-20
QD_Vantagens ||All_cities||traffic,2021-11-20,Paraíba,active,adset,Traffic||Branding geral||Novembro,Cliques no link,15,2524,2930,12.69,0.85,1.160855784,14,21,0.554675119,0.511945392,0,0,1200,432,0,0.02936995,2021-11-20,2021-11-20
QD_Vantagens ||All_cities||traffic,2021-11-20,São Paulo (state),active,adset,Traffic||Branding geral||Novembro,Cliques no link,11,1216,1634,8.99,0.82,1.34375,11,15,0.904605263,0.673194614,0,0,309,120,0,0.07490379,2021-11-20,2021-11-20
QD_Vantagens ||All_cities||traffic,2021-11-20,Alagoas,active,adset,Traffic||Branding geral||Novembro,Cliques no link,7,1144,1431,6.99,1.00,1.250874126,7,11,0.611888112,0.489168414,0,0,396,136,0,0.05138823,2021-11-20,2021-11-20
QD_Vantagens ||All_cities||traffic,2021-11-20,Ceará,active,adset,Traffic||Branding geral||Novembro,Cliques no link,5,608,854,4.21,0.84,1.404605263,5,8,0.822368421,0.585480094,0,0,270,96,0,0.04384663,2021-11-20,2021-11-20
QD_Vantagens ||All_cities||traffic,2021-11-20,Piauí,active,adset,Traffic||Branding geral||Novembro,Cliques no link,2,372,388,1.68,0.84,1.043010753,2,2,0.537634409,0.515463918,0,0,116,52,0,0.03230214,2021-11-20,2021-11-20
QD_Vantagens ||All_cities||traffic,2021-11-20,Rio Grande do Norte,active,adset,Traffic||Branding geral||Novembro,0,0,256,306,1.09,0.00,1.1953125,0,0,0,0,0,0,84,48,0,0.02270443,2021-11-20,2021-11-20
QD_Vantagens ||All_cities||traffic,2021-11-20,Goiás,active,adset,Traffic||Branding geral||Novembro,Cliques no link,2,124,158,0.99,0.49,1.274193548,1,2,0.806451613,1.265822785,0,0,44,28,0,0.03535107,2021-11-20,2021-11-20
QD_Vantagens ||All_cities||traffic,2021-11-20,Maranhão,active,adset,Traffic||Branding geral||Novembro,Cliques no link,1,108,136,0.61,0.61,1.259259259,1,2,0.925925926,0.735294118,0,0,37,4,0,0.15247379,2021-11-20,2021-11-20
QD_Vantagens ||All_cities||traffic,2021-11-20,Unknown,active,adset,Traffic||Branding geral||Novembro,0,0,44,44,0.22,0.00,1,0,0,0,0,0,0,16,4,0,0.05499055,2021-11-20,2021-11-20
