Nome da campanha,Nome do conjunto de anúncios,Dia,Região,Status de veiculação,Nível de veiculação,Nome da campanha,Tipo de resultado,Resultados,Alcance,Impressões,Valor gasto (BRL),Custo por resultado,Frequência,Cliques no link únicos,Cliques (todos),CTR único (taxa de cliques no link),CTR (taxa de cliques no link),Instalações do aplicativo,Custo por instalação de aplicativo,Ativações de aplicativos,Ativações do aplicativo únicas,Custo por ativação de aplicativo,Custo por ativação do aplicativo única,Início dos relatórios,Término dos relatórios
Traffic||Branding geral||Dezembro,QD_confra||All_cities||traffic,2021-12-26,Pará,active,adset,Traffic||Branding geral||Dezembro,,,4,11,0.00,,2.75,,0,0,,,,,,,,2021-12-26,2021-12-26
Traffic||Branding geral||Dezembro,QD_confra||All_cities||traffic,2021-12-26,Rio Grande do Sul,active,adset,Traffic||Branding geral||Dezembro,,,4,6,0.02,,1.5,,0,0,,,,,,,,2021-12-26,2021-12-26
Traffic||Branding geral||Dezembro,QD_confra||All_cities||traffic,2021-12-26,Minas Gerais,active,adset,Traffic||Branding geral||Dezembro,,,4,6,0.00,,1.5,,0,0,,,,,,,,2021-12-26,2021-12-26
Traffic||Branding geral||Dezembro,QD_confra||All_cities||traffic,2021-12-26,Paraná,active,adset,Traffic||Branding geral||Dezembro,,,2,2,0.00,,1,,0,0,,,,,,,,2021-12-26,2021-12-26
Traffic||Branding geral||Dezembro,QD_Natal||All_cities||traffic,2021-12-26,Bahia,active,adset,Traffic||Branding geral||Dezembro,Cliques no link,72,14472,19269,51.43,0.71,1.331467662,67,98,0.462962963,0.37365717,,,9528,3032,,0.0169624,2021-12-26,2021-12-26
Traffic||Branding geral||Dezembro,QD_Natal||All_cities||traffic,2021-12-26,Sergipe,active,adset,Traffic||Branding geral||Dezembro,Cliques no link,34,8160,10476,24.78,0.73,1.283823529,33,49,0.404411765,0.324551355,,,9085,2504,,0.00989617,2021-12-26,2021-12-26
Traffic||Branding geral||Dezembro,QD_Natal||All_cities||traffic,2021-12-26,Pernambuco,active,adset,Traffic||Branding geral||Dezembro,Cliques no link,34,7952,10302,25.78,0.76,1.295523139,32,43,0.402414487,0.330033003,,,3036,1152,,0.02237847,2021-12-26,2021-12-26
Traffic||Branding geral||Dezembro,QD_Natal||All_cities||traffic,2021-12-26,Paraíba,active,adset,Traffic||Branding geral||Dezembro,Cliques no link,17,5232,6924,15.96,0.94,1.323394495,16,24,0.305810398,0.245522819,,,5358,1464,,0.01090164,2021-12-26,2021-12-26
Traffic||Branding geral||Dezembro,QD_confra||All_cities||traffic,2021-12-26,Pernambuco,active,adset,Traffic||Branding geral||Dezembro,Cliques no link,18,1710,2915,8.96,0.50,1.704678363,18,20,1.052631579,0.617495712,,,514,202,,0.04435644,2021-12-26,2021-12-26
Traffic||Branding geral||Dezembro,QD_Natal||All_cities||traffic,2021-12-25,Pernambuco,active,adset,Traffic||Branding geral||Dezembro,Cliques no link,19,7521,9871,25.90,1.36,1.31245845,19,30,0.252625981,0.192483031,,,2120,764,,0.03390288,2021-12-25,2021-12-25
