Nome da campanha,Nome do conjunto de anúncios,Dia,Idade,Status de veiculação,Nível de veiculação,Nome da campanha,Tipo de resultado,Resultados,Alcance,Impressões,Valor gasto (BRL),Custo por resultado,Frequência,Cliques no link únicos,Cliques (todos),CTR único (taxa de cliques no link),CTR (taxa de cliques no link),Instalações do aplicativo,Custo por instalação de aplicativo,Ativações de aplicativos,Ativações do aplicativo únicas,Custo por ativação de aplicativo,Custo por ativação do aplicativo única,Início dos relatórios,Término dos relatórios
Traffic||Branding geral||Dezembro,QD_Natal||All_cities||traffic,2021-12-22,45-54,active,adset,Traffic||Branding geral||Dezembro,,,312,351,1.91,,1.125,,1,0,,,,49,28,,0.06821926,2021-12-22,2021-12-22
Traffic||Branding geral||Dezembro,QD_confra||All_cities||traffic,2021-12-22,35-44,active,adset,Traffic||Branding geral||Dezembro,Cliques no link,17,1670,2879,12.72,0.75,1.723952096,17,20,1.017964072,0.590482807,,,352,170,,0.07482353,2021-12-22,2021-12-22
Traffic||Branding geral||Dezembro,QD_confra||All_cities||traffic,2021-12-22,25-34,active,adset,Traffic||Branding geral||Dezembro,Cliques no link,32,3056,5417,22.18,0.69,1.772578534,32,34,1.047120419,0.590732878,,,800,340,,0.06523529,2021-12-22,2021-12-22
Traffic||Branding geral||Dezembro,QD_confra||All_cities||traffic,2021-12-22,45-54,active,adset,Traffic||Branding geral||Dezembro,Cliques no link,1,88,163,0.83,0.83,1.852272727,1,1,1.136363636,0.613496933,,,38,8,,0.10375,2021-12-22,2021-12-22
Traffic||Branding geral||Dezembro,QD_confra||All_cities||traffic,2021-12-21,45-54,active,adset,Traffic||Branding geral||Dezembro,,,98,179,1.07,,1.826530612,,0,0,,,,44,10,,0.107,2021-12-21,2021-12-21
Traffic||Branding geral||Dezembro,QD_confra||All_cities||traffic,2021-12-21,18-24,active,adset,Traffic||Branding geral||Dezembro,Cliques no link,18,1974,3381,11.29,0.63,1.712765957,18,18,0.911854103,0.532386868,,,587,250,,0.04516,2021-12-21,2021-12-21
Traffic||Branding geral||Dezembro,QD_confra||All_cities||traffic,2021-12-21,25-34,active,adset,Traffic||Branding geral||Dezembro,Cliques no link,33,3270,5885,22.22,0.67,1.79969419,33,35,1.009174312,0.560747664,,,1025,398,,0.05582915,2021-12-21,2021-12-21
Traffic||Branding geral||Dezembro,QD_confra||All_cities||traffic,2021-12-21,35-44,active,adset,Traffic||Branding geral||Dezembro,Cliques no link,19,1780,3119,13.25,0.70,1.752247191,19,22,1.06741573,0.609169606,,,444,184,,0.07201087,2021-12-21,2021-12-21
Traffic||Branding geral||Dezembro,QD_Natal||All_cities||traffic,2021-12-21,35-44,active,adset,Traffic||Branding geral||Dezembro,Cliques no link,32,6520,8574,38.00,1.19,1.315030675,31,43,0.475460123,0.373221367,,,1988,916,,0.04148472,2021-12-21,2021-12-21
Traffic||Branding geral||Dezembro,QD_Natal||All_cities||traffic,2021-12-21,18-24,active,adset,Traffic||Branding geral||Dezembro,Cliques no link,28,9832,13531,41.00,1.46,1.376220504,28,45,0.284784378,0.20693223,,,4039,1680,,0.02440476,2021-12-21,2021-12-21
Traffic||Branding geral||Dezembro,QD_Natal||All_cities||traffic,2021-12-21,45-54,active,adset,Traffic||Branding geral||Dezembro,Cliques no link,4,344,432,2.56,0.64,1.255813953,4,5,1.162790698,0.925925926,,,66,52,,0.04923077,2021-12-21,2021-12-21
